Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
89	49.815483	34.74833	95.84603	1.3534827	986.6	6.378896	26.698137	172.00711	-36.388664	450000	2.9754638e-08	304.68256	-0.018233474	-286.89377	0.7361915	0.01712599	0.0892	55.0	893.7873682975769
90	56.96946	13.974421	79.27861	36.88925	1000.0	2.5378313	8.399639	49.72762	-18.727724	455000	-9.155274e-09	21.312897	-0.010625621	-7.6370125	0.8230684	0.008471782	0.0714	79.0	904.9704875946045
91	72.3721	95.07955	178.1513	-93.35604	819.6	5.7448993	8.126247	45.59443	-9.210839	460000	-5.722046e-09	289.14523	-0.008890988	-149.36664	0.7718791	0.016950125	0.1584	71.0	914.1481766700745
92	25.546255	39.849064	63.59422	-51.64562	1000.0	0.46645546	10.352394	63.322655	-28.333025	465000	0.0	64.63366	-0.0145705715	-42.361195	0.826925	0.014613613	0.157	79.0	924.9760463237762
93	70.50609	73.51248	187.02103	-43.20331	877.8	5.0785556	7.7060947	40.227165	-10.177111	470000	-3.6621095e-08	267.1278	-0.010703003	-75.04628	0.814396	0.010272761	0.104	79.0	934.174596786499
94	44.20184	117.1109	165.83385	-179.01637	877.4	4.0991755	17.307362	88.96948	-96.22403	475000	6.1035155e-09	222.10655	-0.006599014	-140.30066	0.79166925	0.0024690432	0.0534	79.0	943.2821552753448
95	44.36967	65.294075	125.973976	-48.921574	934.4	4.044559	13.442629	82.80203	-26.338974	480000	1.2207031e-08	163.79776	-0.008010076	-80.68838	0.77343935	0.007309261	0.075	79.0	952.3265752792358
96	146.07237	52.76872	204.38321	54.440506	807.1667	11.302862	14.226615	81.60919	-11.066248	485000	2.4414062e-08	243.03328	-0.0064353696	-93.056076	0.72234094	0.004736841	0.0504	79.0	960.7232129573822
97	118.38235	25.999083	148.19376	74.91775	844.2	14.167019	13.4965105	84.344376	-11.147816	490000	9.155274e-09	125.9762	-0.010073661	-70.70201	0.6889028	0.019687522	0.0594	22.0	970.0226533412933
98	117.97939	92.83418	222.68808	2.4709334	782.3333	10.517133	12.591069	75.03125	-11.904811	495000	2.1362304e-08	198.10988	-0.00880065	-97.58481	0.72510266	0.011322262	0.1034	79.0	979.3702592849731
